,iso2_code,language,year_quarter,unique_id,num_pushers,language_type,year,quarter,gpt_available,population,num_pushers_pc,post_gpt,Treatment
62,AE,Ruby,2023-Q3,AE-Ruby,595,programming,2023,15,1,9446000,6.298962523819606,1,1
63,AE,Ruby,2023-Q4,AE-Ruby,672,programming,2023,16,1,9446000,7.1141223798433195,1,1
64,AE,PHP,2020-Q1,AE-PHP,354,programming,2020,1,1,9446000,3.747618039381749,0,0
65,AE,PHP,2020-Q2,AE-PHP,407,programming,2020,2,1,9446000,4.308702096125344,0,0
66,AE,PHP,2020-Q3,AE-PHP,385,programming,2020,3,1,9446000,4.075799280118568,0,0
67,AE,PHP,2020-Q4,AE-PHP,447,programming,2020,4,1,9446000,4.7321617615922085,0,0
68,AE,PHP,2021-Q1,AE-PHP,389,programming,2021,5,1,9446000,4.118145246665255,0,0
69,AE,PHP,2021-Q2,AE-PHP,440,programming,2021,6,1,9446000,4.658056320135507,0,0
70,AE,PHP,2021-Q3,AE-PHP,434,programming,2021,7,1,9446000,4.594537370315478,0,0
71,AE,PHP,2021-Q4,AE-PHP,455,programming,2021,8,1,9446000,4.816853694685581,0,0
72,AE,PHP,2022-Q1,AE-PHP,543,programming,2022,9,1,9446000,5.748464958712683,0,0
73,AE,PHP,2022-Q2,AE-PHP,594,programming,2022,10,1,9446000,6.288376032182934,0,0
74,AE,PHP,2022-Q3,AE-PHP,555,programming,2022,11,1,9446000,5.875502858352742,0,0
75,AE,PHP,2022-Q4,AE-PHP,611,programming,2022,12,1,9446000,6.468346390006352,1,1
76,AE,PHP,2023-Q1,AE-PHP,607,programming,2023,13,1,9446000,6.426000423459666,1,1
77,AE,PHP,2023-Q2,AE-PHP,689,programming,2023,14,1,9446000,7.2940927376667375,1,1
78,AE,PHP,2023-Q3,AE-PHP,636,programming,2023,15,1,9446000,6.733008680923142,1,1
79,AE,PHP,2023-Q4,AE-PHP,669,programming,2023,16,1,9446000,7.082362904933304,1,1
80,AE,TypeScript,2020-Q1,AE-TypeScript,308,programming,2020,1,1,9446000,3.2606394240948546,0,0
81,AE,TypeScript,2020-Q2,AE-TypeScript,443,programming,2020,2,1,9446000,4.689815795045521,0,0
82,AE,TypeScript,2020-Q3,AE-TypeScript,447,programming,2020,3,1,9446000,4.7321617615922085,0,0
83,AE,TypeScript,2020-Q4,AE-TypeScript,408,programming,2020,4,1,9446000,4.319288587762016,0,0
84,AE,TypeScript,2021-Q1,AE-TypeScript,480,programming,2021,5,1,9446000,5.081515985602372,0,0
85,AE,TypeScript,2021-Q2,AE-TypeScript,503,programming,2021,6,1,9446000,5.325005293245818,0,0
86,AE,TypeScript,2021-Q3,AE-TypeScript,574,programming,2021,7,1,9446000,6.0766461994495025,0,0
87,AE,TypeScript,2021-Q4,AE-TypeScript,670,programming,2021,8,1,9446000,7.092949396569976,0,0
88,AE,TypeScript,2022-Q1,AE-TypeScript,786,programming,2022,9,1,9446000,8.320982426423884,0,0
89,AE,TypeScript,2022-Q2,AE-TypeScript,902,programming,2022,10,1,9446000,9.54901545627779,0,0
90,AE,TypeScript,2022-Q3,AE-TypeScript,999,programming,2022,11,1,9446000,10.575905145034936,0,0
91,AE,TypeScript,2022-Q4,AE-TypeScript,1164,programming,2022,12,1,9446000,12.32267626508575,1,1
92,AE,TypeScript,2023-Q1,AE-TypeScript,1243,programming,2023,13,1,9446000,13.159009104382807,1,1
93,AE,TypeScript,2023-Q2,AE-TypeScript,1411,programming,2023,14,1,9446000,14.937539699343638,1,1
94,AE,TypeScript,2023-Q3,AE-TypeScript,1478,programming,2023,15,1,9446000,15.646834639000636,1,1
95,AE,TypeScript,2023-Q4,AE-TypeScript,1619,programming,2023,16,1,9446000,17.13952995977133,1,1
96,AE,C#,2020-Q1,AE-C#,295,programming,2020,1,1,9446000,3.1230150328181243,0,0
97,AE,C#,2020-Q2,AE-C#,322,programming,2020,2,1,9446000,3.4088503070082576,0,0
98,AE,C#,2020-Q3,AE-C#,314,programming,2020,3,1,9446000,3.3241583739148846,0,0
99,AE,C#,2020-Q4,AE-C#,352,programming,2020,4,1,9446000,3.7264450561084055,0,0
100,AE,C#,2021-Q1,AE-C#,311,programming,2021,5,1,9446000,3.29239889900487,0,0
101,AE,C#,2021-Q2,AE-C#,320,programming,2021,6,1,9446000,3.387677323734914,0,0
102,AE,C#,2021-Q3,AE-C#,343,programming,2021,7,1,9446000,3.6311666313783615,0,0
103,AE,C#,2021-Q4,AE-C#,346,programming,2021,8,1,9446000,3.662926106288376,0,0
104,AE,C#,2022-Q1,AE-C#,397,programming,2022,9,1,9446000,4.202837179758628,0,0
105,AE,C#,2022-Q2,AE-C#,462,programming,2022,10,1,9446000,4.890959136142283,0,0
106,AE,C#,2022-Q3,AE-C#,428,programming,2022,11,1,9446000,4.531018420495448,0,0
107,AE,C#,2022-Q4,AE-C#,485,programming,2022,12,1,9446000,5.13444844378573,1,1
108,AE,C#,2023-Q1,AE-C#,535,programming,2023,13,1,9446000,5.66377302561931,1,1
109,AE,C#,2023-Q2,AE-C#,542,programming,2023,14,1,9446000,5.737878467076011,1,1
110,AE,C#,2023-Q3,AE-C#,537,programming,2023,15,1,9446000,5.684946008892653,1,1
111,AE,C#,2023-Q4,AE-C#,555,programming,2023,16,1,9446000,5.875502858352742,1,1
112,AE,C++,2020-Q1,AE-C++,238,programming,2020,1,1,9446000,2.5195850095278423,0,0
