git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc,developers,repositories,developers_pc,repositories_pc,pushes_perdev
2854,LY,2020,3,0,0,0,0,0,3,6253000,0.0004564209179593795,11219,11621,0.0017941787941787941,0.0018584679353910124,0.25438987432034943
2786,BB,2020,3,1,0,0,0,0,3,285000,0.009775438596491229,3686,5746,0.012933333333333333,0.02016140350877193,0.7558328811720022
2640,NC,2020,3,0,0,0,0,0,3,268767,0.009822634475214592,1767,3540,0.006574467847615221,0.013171259864492293,1.4940577249575553
2577,MW,2020,3,1,0,0,0,0,3,15805239,0.0001630472022599595,4281,5029,0.0002708595548602587,0.0003181856345228313,0.6019621583742116
2330,BN,2020,3,1,0,0,0,0,3,393372,0.005923146538136929,4740,5041,0.012049662914493152,0.012814841930793243,0.49156118143459915
2305,CV,2020,3,1,0,0,0,0,3,518467,0.00444579886473006,1821,2741,0.0035122775412899953,0.005286739561052102,1.2657880285557386
2293,AF,2020,3,0,0,0,0,0,3,26023100,8.811402177296325e-05,8214,9104,0.0003156426405770258,0.0003498430240824498,0.27915753591429265
2112,SL,2020,3,1,0,0,0,0,3,6205000,0.00034037066881547137,2427,3190,0.0003911361804995971,0.0005141015310233683,0.8702101359703337
1966,BF,2020,3,1,0,0,0,0,3,17322796,0.00011349207137231195,3346,3935,0.00019315588545867538,0.00022715732494915948,0.5875672444710102
1962,SO,2020,3,0,0,0,0,0,3,10806000,0.0001815657967795669,6727,6295,0.0006225245234129188,0.0005825467332963169,0.2916604727218671
21752294,US,2020,4,1,0,0,0,0,4,319259000,0.06813369082782318,11660333,35235403,0.036523114461925896,0.11036620110944406,1.8654950934934706
7291401,IN,2020,4,1,0,0,0,0,4,1263930000,0.0057688329258740595,5653924,13198250,0.004473288868845585,0.010442231769164432,1.2896177946502287
5386337,CN,2020,4,0,0,0,0,0,4,1367110000,0.003939944115689301,6968848,22263274,0.005097503492769419,0.01628491781934153,0.7729164131575261
