git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc,developers,developers_pc,pushes_perdev
7849,RE,2020,1,0,0,0,0,0,1,840974,0.009333225521835395,5871,0.0069811908572678825,1.336910236756941
7506,QA,2020,1,1,0,0,0,0,1,2269672,0.003307085781557864,18205,0.008020982767554079,0.4123043120021972
7487,MO,2020,1,0,0,0,0,0,1,631000,0.011865293185419968,8400,0.013312202852614897,0.8913095238095238
6755,TT,2020,1,1,0,0,0,0,1,1328019,0.005086523611484474,8522,0.006417076864111131,0.7926543065008214
6726,SY,2020,1,0,0,0,0,0,1,22964324,0.0002928890917929916,14515,0.0006320673754646555,0.4633827075439201
5482,SD,2020,1,0,0,0,0,0,1,37289406,0.00014701226401943757,11010,0.00029525812237395256,0.4979109900090827
5312,AO,2020,1,1,0,0,0,0,1,24383301,0.00021785401410580134,7156,0.0002934795415928303,0.7423141419787591
4989,TJ,2020,1,0,0,0,0,0,1,8161000,0.0006113221418943757,2599,0.00031846587428011275,1.9195844555598307
4869,ZM,2020,1,1,0,0,0,0,1,15023315,0.0003240962464010107,6964,0.0004635461614164384,0.6991671453187823
4663,MZ,2020,1,1,0,0,0,0,1,25041922,0.0001862077519449186,5748,0.00022953509718623037,0.8112386917188588
4659,BH,2020,1,0,0,0,0,0,1,1316500,0.0035389289783516902,9381,0.007125712115457653,0.4966421490246242
4382,CD,2020,1,0,0,0,0,0,1,69360000,6.317762399077278e-05,5406,7.794117647058824e-05,0.8105808361080281
3614,BJ,2020,1,1,0,0,0,0,1,9988068,0.00036183173762933935,6329,0.000633656078432786,0.5710222784010112
3576,YE,2020,1,0,0,0,0,0,1,25956000,0.00013777161349976883,12584,0.00048482046540298965,0.28417037507946596
3543,OM,2020,1,1,0,0,0,0,1,4089076,0.0008664549154870195,13043,0.0031897181661578312,0.2716399601318715
3448,HT,2020,1,1,0,0,0,0,1,10745665,0.0003208735801832646,4347,0.0004045352242043652,0.7931907062341845
2962,LA,2020,1,0,0,0,0,0,1,6693300,0.0004425320843231291,5787,0.0008645959392228049,0.5118368757560048
2909,MV,2020,1,1,0,0,0,0,1,341256,0.008524392245118034,3770,0.011047424807182878,0.7716180371352785
2594,NC,2020,1,0,0,0,0,0,1,268767,0.009651482510873732,1477,0.005495466333292406,1.7562626946513202
2434,BB,2020,1,1,0,0,0,0,1,285000,0.008540350877192982,3049,0.010698245614035087,0.7982945227943588
2356,LY,2020,1,0,0,0,0,0,1,6253000,0.00037677914600991525,9125,0.0014592995362226132,0.2581917808219178
2277,AF,2020,1,0,0,0,0,0,1,26023100,8.749918341780956e-05,6481,0.0002490479612344417,0.3513346705755285
2215,BN,2020,1,1,0,0,0,0,1,393372,0.005630802395696694,3960,0.010066806991855038,0.5593434343434344
2016,MW,2020,1,1,0,0,0,0,1,15805239,0.00012755264251303002,3510,0.0002220782615182219,0.5743589743589743
1945,TG,2020,1,1,0,0,0,0,1,6993000,0.00027813527813527815,5107,0.0007303017303017303,0.38084981398081064
1821,BW,2020,1,1,0,0,0,0,1,2024904,0.0008993018928304749,4327,0.0021368914279393,0.4208458516293044
1338,SO,2020,1,0,0,0,0,0,1,10806000,0.0001238200999444753,5156,0.00047714232833610956,0.2595034910783553
1285,CV,2020,1,1,0,0,0,0,1,518467,0.0024784605384720725,1511,0.002914360991152764,0.8504301786896096
1029,BF,2020,1,1,0,0,0,0,1,17322796,5.9401496155701426e-05,2530,0.0001460503258249996,0.4067193675889328
704,SL,2020,1,1,0,0,0,0,1,6205000,0.00011345688960515714,1800,0.00029008863819500404,0.39111111111111113
23736592,US,2020,2,1,0,0,0,0,2,319259000,0.07434901443655464,10434232,0.03268265577477847,2.2748767709976163
7346825,IN,2020,2,1,0,0,0,0,2,1263930000,0.0058126834555711155,4684375,0.0037061981280608895,1.568368245496998
6296259,CN,2020,2,0,0,0,0,0,2,1367110000,0.004605524793176848,6281702,0.004594876783872549,1.0023173655802202
4513691,GB,2020,2,1,0,0,0,0,2,64105654,0.07041018566006674,1749625,0.02729283441987816,2.579804815317568
4211265,DE,2020,2,1,0,0,0,0,2,80783000,0.052130584405134746,1432550,0.017733310226161446,2.9396984398450314
3634133,BR,2020,2,1,0,0,0,0,2,203586000,0.017850603676087748,1544319,0.007585585452830745,2.3532268915942884
3453560,RU,2020,2,0,0,0,0,0,2,146233000,0.023616830674334795,1402697,0.009592205589709572,2.4620855394999777
3364046,FR,2020,2,1,0,0,0,0,2,66078000,0.050910227307121886,1154301,0.01746876418777808,2.9143576935305435
3151677,CA,2020,2,1,0,0,0,0,2,35540419,0.08867866751936718,1228068,0.03455412272995431,2.566370103284183
2956652,JP,2020,2,1,0,0,0,0,2,127080000,0.023266068618193265,1241923,0.009772765187283601,2.3807047618894246
